model,feature_set,fs,target,file,feature_count,feature_names,classes,class_boundaries,pipeline_contains_preprocessing,best_params,cv_mode,cv_folds,cv_repeats,cv_score_count,cv_macro_f1,cv_macro_f1_std,saved_cv_train_macro_f1,saved_cv_train_macro_f1_std,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_mcc,train_cohen_kappa,train_log_loss,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,n_train,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_mcc,val_cohen_kappa,val_log_loss,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,n_val,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_mcc,test_cohen_kappa,test_log_loss,test_roc_auc_ovr_macro,test_roc_auc_ovr_weighted,n_test,val_balanced_error,test_balanced_error,train_cv_gap,train_val_gap,cv_val_gap,val_test_gap,abs_train_cv_gap,abs_cv_val_gap,abs_val_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,split_sensitive,stable_generalization,generalization_diagnosis,rank_cv_macro_f1,rank_val_macro_f1,rank_cv_stability,rank_train_cv_gap,rank_val_balanced_error,selection_rank_score,Selection Rank,rank_test_macro_f1,rank_test_balanced_accuracy,rank_test_mcc,test_rank_score,Test Performance Rank,rank_generalization_gap,rank_generalization_cv_sd,rank_generalization_split_gap,generalization_rank_score,Generalization Rank,cv_mcc,cv_test_gap,abs_cv_test_gap,test_shift,mcc_used_for_selection,rank_cv_mcc,statistical_rank,selection_rank,statistical_score,rank_stability,test_performance_rank,generalization_rank,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank
XGB,fs2,fs2,AC,XGB_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__colsample_bytree"": 0.8, ""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 6, ""classifier__n_estimators"": 100, ""classifier__subsample"": 1.0}",group,5,1,5,0.644877,0.169607,,,0.902724,0.907796,0.916336,0.907796,0.909386,0.900692,0.848574,0.845519,0.557028,0.991034,0.989457,257,,,,,,,,,,,,0,0.826667,0.802503,0.833742,0.802503,0.816667,0.826000,0.697359,0.696640,0.644217,0.956515,0.945240,75,,0.197497,0.264509,,,,0.264509,,,True,False,True,False,False,Overfitting with high CV instability,11.000000,18.500000,23.000000,22.000000,18.500000,15.600000,11,16.000000,11.000000,18.000000,14.900000,17,22.000000,23.000000,18.500000,22.400000,25,,-0.171790,0.171790,True,False,,11,11,0.514706,0.774449,17,25,18.666667,17,14.450000,12,17.900000,14,14.333333,14.000000,12.000000,17.000000,5.000000,2.516611,0,0.000000,Unstable selection,12.211000,12.000000,8,15,7,1.790443,0,0.000000,0,0.000000,Unstable selection,15.225000,9,10.500000,11
SVC,fs1,fs1,AC,SVC_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",group,5,1,5,0.618426,0.116798,,,0.809339,0.812818,0.826685,0.812818,0.806356,0.799290,0.707579,0.695498,0.466638,0.933486,0.924875,257,,,,,,,,,,,,0,0.853333,0.793193,0.896825,0.793193,0.830190,0.851434,0.741669,0.739172,0.474919,0.927352,0.920328,75,,0.206807,0.187930,,,,0.187930,,,True,False,False,False,False,Possible overfitting,20.000000,18.500000,6.000000,12.000000,18.500000,15.600000,11,11.000000,16.000000,14.000000,13.100000,13,12.000000,6.000000,18.500000,9.600000,5,,-0.211764,0.211764,True,False,,11,11,0.514706,0.688348,13,5,12.666667,4,16.700000,16,13.400000,4,8.000000,4.000000,4.000000,16.000000,12.000000,6.928203,0,0.000000,Unstable selection,12.588000,13.000000,5,18,13,4.010529,0,0.000000,0,0.000000,Unstable selection,17.500000,14,12.700000,12
SVC,fs3,fs3,AC,SVC_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""linear""}",group,5,1,5,0.628175,0.183785,,,0.758755,0.754746,0.783818,0.754746,0.748891,0.744767,0.629680,0.611801,0.540323,0.910306,0.900625,257,,,,,,,,,,,,0,0.866667,0.798382,0.831584,0.798382,0.812343,0.864405,0.768392,0.765038,0.353866,0.966347,0.963424,75,,0.201618,0.120716,,,,0.120716,,,False,False,True,False,False,High CV instability,16.000000,18.500000,24.000000,7.000000,18.500000,15.800000,13,17.000000,13.000000,10.000000,14.400000,16,7.000000,24.000000,18.500000,13.800000,8,,-0.184168,0.184168,True,False,,13,13,0.507353,0.692882,16,8,15.666667,6,15.850000,13,15.700000,7,8.666667,7.000000,6.000000,13.000000,7.000000,3.785939,0,0.000000,Unstable selection,13.087000,14.000000,8,19,11,2.600037,0,0.000000,0,0.000000,Unstable selection,17.500000,14,13.600000,14
XGB,fs1,fs1,AC,XGB_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 9, ""classifier__n_estimators"": 100, ""classifier__subsample"": 1.0}",group,5,1,5,0.653596,0.230006,,,0.964981,0.970121,0.969093,0.970121,0.969590,0.965010,0.944887,0.944864,0.492495,0.993177,0.991974,257,,,,,,,,,,,,0,0.826667,0.776099,0.875000,0.776099,0.810753,0.825447,0.695615,0.693878,0.602829,0.957211,0.944247,75,,0.223901,0.315994,,,,0.315994,,,True,False,True,False,False,Overfitting with high CV instability,6.000000,18.500000,34.000000,28.000000,18.500000,16.000000,14,18.000000,20.000000,19.000000,18.800000,19,28.000000,34.000000,18.500000,30.400000,36,,-0.157157,0.157157,True,False,,14,14,0.500000,0.653149,19,36,22.666667,29,13.500000,11,21.000000,23,21.000000,23.000000,11.000000,29.000000,18.000000,9.165151,0,0.000000,Unstable selection,12.599000,13.000000,6,19,13,2.860836,0,0.000000,0,0.000000,Unstable selection,16.700000,12,13.200000,13
LOGREG,fs2,fs2,AC,LOGREG_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__max_iter"": 3000, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",group,5,1,5,0.629231,0.229500,,,0.735409,0.733660,0.748872,0.733660,0.730750,0.728489,0.586257,0.577476,0.558830,0.900096,0.888049,257,,,,,,,,,,,,0,0.880000,0.810287,0.839438,0.810287,0.823045,0.878025,0.791128,0.789260,0.374859,0.948611,0.947127,75,,0.189713,0.101519,,,,0.101519,,,False,False,True,False,False,High CV instability,15.000000,18.500000,32.000000,4.000000,18.500000,16.200000,15,14.000000,9.000000,6.000000,10.900000,9,4.000000,32.000000,18.500000,15.200000,10,,-0.193814,0.193814,True,False,,15,15,0.492647,0.596113,9,10,17.000000,10,15.900000,14,16.800000,11,11.666667,11.000000,10.000000,14.000000,4.000000,2.081666,0,0.000000,Unstable selection,14.168000,14.000000,7,31,24,5.373886,0,0.000000,0,0.000000,Unstable selection,18.800000,17,15.800000,16
GBC,fs3,fs3,AC,GBC_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__learning_rate"": 0.05, ""classifier__max_depth"": 2, ""classifier__n_estimators"": 100}",group,5,1,5,0.637676,0.187898,,,0.883268,0.890289,0.906767,0.890289,0.895382,0.881205,0.817867,0.813885,0.331581,0.974715,0.970331,257,,,,,,,,,,,,0,0.866667,0.897741,0.868351,0.897741,0.881907,0.866280,0.772095,0.771828,0.394389,0.952730,0.942049,75,,0.102259,0.257706,,,,0.257706,,,True,False,True,False,False,Overfitting with high CV instability,13.000000,18.500000,25.000000,21.000000,18.500000,17.000000,16,4.000000,4.500000,9.000000,5.150000,4,21.000000,25.000000,18.500000,22.600000,27,,-0.244231,0.244231,True,False,,16,16,0.463235,0.797657,4,27,19.666667,20,16.000000,15,19.000000,18,17.666667,18.000000,15.000000,20.000000,5.000000,2.516611,0,0.000000,Unstable selection,15.133000,15.000000,12,17,5,1.324033,0,0.000000,0,0.000000,Weight-sensitive,16.875000,13,14.800000,15
LOGREG,fs3,fs3,AC,LOGREG_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__max_iter"": 3000, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",group,5,1,5,0.625581,0.229951,,,0.739300,0.739833,0.751934,0.739833,0.735247,0.732072,0.592978,0.584343,0.558500,0.900302,0.888314,257,,,,,,,,,,,,0,0.880000,0.810287,0.839438,0.810287,0.823045,0.878025,0.791128,0.789260,0.374886,0.948373,0.946757,75,,0.189713,0.109666,,,,0.109666,,,False,False,True,False,False,High CV instability,17.000000,18.500000,33.000000,5.000000,18.500000,17.800000,17,14.000000,9.000000,6.000000,10.900000,9,5.000000,33.000000,18.500000,16.200000,14,,-0.197464,0.197464,True,False,,17,17,0.433824,0.615149,9,14,18.333333,16,17.600000,17,18.200000,15,16.000000,16.000000,15.000000,17.000000,2.000000,1.000000,0,0.000000,Weight-sensitive,17.611000,17.000000,8,34,26,5.531209,0,0.000000,0,0.000000,Unstable selection,20.125000,21,18.600000,19
DT,fs4,fs4,AC,DT_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__criterion"": ""entropy"", ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 2, ""classifier__min_samples_split"": 5}",group,5,1,5,0.611278,0.161847,,,0.824903,0.822855,0.876064,0.822855,0.830560,0.815099,0.737427,0.715820,0.357653,0.937347,0.926561,257,,,,,,,,,,,,0,0.746667,0.701313,0.827020,0.701313,0.743613,0.742355,0.552569,0.539877,3.721305,0.840146,0.792118,75,,0.298687,0.219282,,,,0.219282,,,True,False,True,False,False,Overfitting with high CV instability,22.000000,18.500000,15.000000,17.000000,18.500000,19.600000,18,30.000000,31.000000,31.000000,30.500000,31,17.000000,15.000000,18.500000,16.200000,13,,-0.132335,0.132335,False,False,,18,18,0.367647,0.859438,31,13,18.000000,14,20.200000,21,18.400000,16,17.000000,16.000000,14.000000,21.000000,7.000000,3.605551,0,0.000000,Unstable selection,19.143000,19.000000,12,21,9,1.531305,0,0.000000,0,0.000000,Unstable selection,18.850000,18,18.000000,17
XGB,fs3,fs3,AC,XGB_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__colsample_bytree"": 0.8, ""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 9, ""classifier__n_estimators"": 100, ""classifier__subsample"": 0.8}",group,5,1,5,0.633856,0.202448,,,0.961089,0.963819,0.965046,0.963819,0.964169,0.960851,0.938871,0.938577,0.560840,0.996193,0.995545,257,,,,,,,,,,,,0,0.840000,0.784646,0.836973,0.784646,0.805717,0.838171,0.719965,0.719189,0.697832,0.948620,0.934754,75,,0.215354,0.330313,,,,0.330313,,,True,False,True,False,False,Overfitting with high CV instability,14.000000,18.500000,27.000000,30.000000,18.500000,19.800000,19,19.000000,18.500000,17.000000,18.450000,18,30.000000,27.000000,18.500000,28.800000,35,,-0.171861,0.171861,True,False,,19,19,0.360294,0.773145,18,35,23.666667,30,18.350000,18,22.700000,29,25.666667,29.000000,18.000000,30.000000,12.000000,6.658328,0,0.000000,Unstable selection,19.234000,18.000000,14,25,11,2.346220,0,0.000000,0,0.000000,Unstable selection,18.775000,16,18.100000,18
ET,fs4,fs4,AC,ET_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 20, ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 500}",group,5,1,5,0.619448,0.138859,,,0.996109,0.997199,0.996078,0.997199,0.996621,0.996112,0.993898,0.993874,0.005541,0.999978,0.999975,257,,,,,,,,,,,,0,0.746667,0.704670,0.822464,0.704670,0.746003,0.744278,0.550521,0.543123,0.621212,0.853698,0.806980,75,,0.295330,0.377173,,,,0.377173,,,True,False,False,False,False,Possible overfitting,19.000000,18.500000,9.000000,33.000000,18.500000,19.800000,19,29.000000,30.000000,32.000000,29.900000,30,33.000000,9.000000,18.500000,23.400000,29,,-0.126555,0.126555,False,False,,19,19,0.360294,0.673812,30,29,20.333333,21,19.600000,19,20.200000,21,20.333333,21.000000,19.000000,21.000000,2.000000,1.154701,0,0.000000,Weight-sensitive,19.189000,19.000000,7,29,22,5.515769,0,0.000000,0,0.000000,Unstable selection,21.150000,22,20.500000,20
XGB,fs4,fs4,AC,XGB_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__colsample_bytree"": 0.8, ""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 9, ""classifier__n_estimators"": 100, ""classifier__subsample"": 0.8}",group,5,1,5,0.620860,0.168331,,,0.918288,0.920168,0.940731,0.920168,0.926580,0.916705,0.874507,0.869609,0.577614,0.991118,0.989578,257,,,,,,,,,,,,0,0.773333,0.725122,0.843599,0.725122,0.766667,0.770872,0.599269,0.591215,0.738408,0.876874,0.836483,75,,0.274878,0.305720,,,,0.305720,,,True,False,True,False,False,Overfitting with high CV instability,18.000000,18.500000,21.000000,27.000000,18.500000,20.400000,21,26.000000,28.000000,29.000000,27.200000,27,27.000000,21.000000,18.500000,24.600000,31,,-0.145807,0.145807,False,False,,21,21,0.338235,0.854646,27,31,22.000000,27,19.800000,20,21.600000,25,24.000000,25.000000,20.000000,27.000000,7.000000,3.605551,0,0.000000,Unstable selection,20.619000,20.000000,16,25,9,1.875995,0,0.000000,0,0.000000,Unstable selection,19.825000,20,20.600000,21
LOGREG,fs4,fs4,AC,LOGREG_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__max_iter"": 3000, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",group,5,1,5,0.568966,0.144131,,,0.688716,0.679687,0.711480,0.679687,0.679190,0.682785,0.512849,0.501165,0.691632,0.838898,0.818666,257,,,,,,,,,,,,0,0.666667,0.656746,0.613122,0.656746,0.621620,0.676691,0.453893,0.449985,0.640222,0.867869,0.841512,75,,0.343254,0.110224,,,,0.110224,,,False,False,False,False,False,Moderate generalization,29.000000,18.500000,12.000000,6.000000,18.500000,21.000000,22,36.000000,35.000000,36.000000,35.700000,36,6.000000,12.000000,18.500000,8.400000,4,,-0.052654,0.052654,False,False,,22,22,0.316176,0.616610,36,4,15.666667,7,23.000000,26,17.000000,13,15.333333,13.000000,7.000000,26.000000,19.000000,9.712535,0,0.000000,Unstable selection,22.658000,23.000000,18,29,11,3.071558,0,0.000000,0,0.000000,Unstable selection,21.300000,23,22.400000,23
ET,fs3,fs3,AC,ET_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 300}",group,5,1,5,0.598802,0.162565,,,0.809339,0.815022,0.815058,0.815022,0.802337,0.797838,0.707641,0.697182,0.585868,0.959884,0.953063,257,,,,,,,,,,,,0,0.813333,0.764194,0.786905,0.764194,0.774513,0.812208,0.674661,0.674419,0.644234,0.925988,0.913262,75,,0.235806,0.203535,,,,0.203535,,,True,False,True,False,False,Overfitting with high CV instability,25.000000,18.500000,16.000000,15.000000,18.500000,21.200000,23,23.000000,22.000000,23.000000,22.700000,23,15.000000,16.000000,18.500000,15.400000,11,,-0.175711,0.175711,True,False,,23,23,0.308824,0.805863,23,11,18.666667,17,22.150000,22,19.300000,20,19.666667,20.000000,17.000000,22.000000,5.000000,2.516611,0,0.000000,Unstable selection,22.598000,23.000000,20,25,5,1.126794,0,0.000000,0,0.000000,Weight-sensitive,19.700000,19,21.400000,22
ANN,fs1,fs1,AC,ANN_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.01, ""classifier__batch_size"": 16, ""classifier__early_stopping"": true, ""classifier__hidden_layer_sizes"": [64, 32], ""classifier__learning_rate_init"": 0.005, ""classifier__max_iter"": 3000, ""classifier__solver"": ""adam""}",group,5,1,5,0.608146,0.205396,,,0.809339,0.812818,0.826685,0.812818,0.806356,0.799290,0.707579,0.695498,0.462977,0.928563,0.920249,257,,,,,,,,,,,,0,0.853333,0.793193,0.896825,0.793193,0.830190,0.851434,0.741669,0.739172,0.430703,0.930987,0.923713,75,,0.206807,0.198210,,,,0.198210,,,True,False,True,False,False,Overfitting with high CV instability,23.000000,18.500000,28.000000,14.000000,18.500000,22.200000,24,11.000000,16.000000,14.000000,13.100000,13,14.000000,28.000000,18.500000,19.600000,20,,-0.222044,0.222044,True,False,,24,24,0.272059,0.789044,13,20,21.666667,24,22.400000,23,21.800000,26,24.333333,24.000000,23.000000,26.000000,3.000000,1.527525,0,0.000000,Unstable selection,24.889000,24.000000,18,35,17,4.332834,0,0.000000,0,0.000000,Unstable selection,22.775000,25,24.400000,24
ET,fs2,fs2,AC,ET_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 10, ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 500}",group,5,1,5,0.602360,0.141234,,,0.953307,0.959384,0.952890,0.959384,0.956006,0.953213,0.926744,0.926652,0.330761,0.993272,0.992200,257,,,,,,,,,,,,0,0.813333,0.760836,0.868504,0.760836,0.799500,0.811937,0.670106,0.666878,0.501622,0.943642,0.927453,75,,0.239164,0.353646,,,,0.353646,,,True,False,False,False,False,Possible overfitting,24.000000,18.500000,10.000000,31.000000,18.500000,22.600000,25,20.000000,23.000000,24.000000,21.700000,22,31.000000,10.000000,18.500000,22.600000,26,,-0.197140,0.197140,True,False,,25,25,0.257353,0.712785,22,26,21.666667,24,22.950000,25,21.900000,27,25.333333,25.000000,24.000000,27.000000,3.000000,1.527525,0,0.000000,Unstable selection,24.877000,25.000000,9,32,23,4.732469,0,0.000000,0,0.000000,Unstable selection,23.425000,28,26.200000,27
SVC,fs4,fs4,AC,SVC_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",group,5,1,5,0.565127,0.143779,,,0.770428,0.787011,0.762587,0.787011,0.761732,0.761669,0.649785,0.642180,0.500779,0.913579,0.903481,257,,,,,,,,,,,,0,0.786667,0.733669,0.856923,0.733669,0.776094,0.783477,0.625031,0.613900,0.557158,0.901838,0.879696,75,,0.266331,0.196605,,,,0.196605,,,True,False,False,False,False,Possible overfitting,30.000000,18.500000,11.000000,13.000000,18.500000,22.800000,26,22.000000,24.500000,27.000000,23.750000,24,13.000000,11.000000,18.500000,12.200000,6,,-0.210967,0.210967,True,False,,26,26,0.250000,0.678619,24,6,18.000000,14,24.600000,28,19.200000,19,20.333333,19.000000,14.000000,28.000000,14.000000,7.094599,0,0.000000,Unstable selection,26.650000,27.000000,22,31,9,2.144318,0,0.000000,0,0.000000,Unstable selection,23.075000,26,26.000000,26
DT,fs1,fs1,AC,DT_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__criterion"": ""gini"", ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 5}",group,5,1,5,0.589577,0.163107,,,0.840467,0.837561,0.889083,0.837561,0.846381,0.832467,0.761144,0.741525,0.284800,0.957178,0.949973,257,,,,,,,,,,,,0,0.786667,0.726954,0.873409,0.726954,0.771619,0.779678,0.636013,0.608355,2.644780,0.852609,0.862671,75,,0.273046,0.256804,,,,0.256804,,,True,False,True,False,False,Overfitting with high CV instability,26.000000,18.500000,17.000000,20.000000,18.500000,23.000000,27,25.000000,27.000000,25.000000,25.600000,25,20.000000,17.000000,18.500000,18.800000,16,,-0.182042,0.182042,True,False,,27,27,0.242647,0.848771,25,16,21.000000,23,23.750000,27,21.500000,24,24.666667,24.000000,23.000000,27.000000,4.000000,2.081666,0,0.000000,Unstable selection,26.554000,26.000000,25,30,5,1.035450,0,0.000000,0,0.000000,Weight-sensitive,21.400000,24,25.800000,25
RF,fs4,fs4,AC,RF_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 20, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2, ""classifier__n_estimators"": 300}",group,5,1,5,0.615791,0.168041,,,0.996109,0.996032,0.997222,0.996032,0.996609,0.996105,0.993888,0.993864,0.131516,0.999978,0.999975,257,,,,,,,,,,,,0,0.733333,0.696123,0.810370,0.696123,0.736794,0.731827,0.525938,0.520767,0.573413,0.866298,0.820847,75,,0.303877,0.380818,,,,0.380818,,,True,False,True,False,False,Overfitting with high CV instability,21.000000,18.500000,20.000000,34.000000,18.500000,23.400000,28,32.000000,32.000000,35.000000,32.600000,33,34.000000,20.000000,18.500000,28.400000,34,,-0.121003,0.121003,False,False,,28,28,0.227941,0.796761,33,34,25.000000,35,22.800000,24,24.600000,32,30.333333,32.000000,24.000000,35.000000,11.000000,5.686241,0,0.000000,Unstable selection,26.647000,26.000000,21,32,11,3.435432,0,0.000000,0,0.000000,Unstable selection,23.300000,27,27.600000,28
KNN,fs4,fs4,AC,KNN_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__n_neighbors"": 5, ""classifier__p"": 2, ""classifier__weights"": ""uniform""}",group,5,1,5,0.562262,0.127324,,,0.801556,0.803973,0.807448,0.803973,0.800648,0.794963,0.689351,0.684252,0.374480,0.946128,0.940784,257,,,,,,,,,,,,0,0.773333,0.692002,0.851751,0.692002,0.738787,0.767672,0.599381,0.585635,3.656235,0.828183,0.832703,75,,0.307998,0.238386,,,,0.238386,,,True,False,False,False,False,Possible overfitting,31.000000,18.500000,8.000000,19.000000,18.500000,24.000000,29,31.000000,33.000000,28.000000,31.000000,32,19.000000,8.000000,18.500000,14.600000,9,,-0.176525,0.176525,True,False,,29,29,0.205882,0.673026,32,9,19.333333,19,25.750000,31,20.500000,22,24.000000,22.000000,19.000000,31.000000,12.000000,6.244998,0,0.000000,Unstable selection,29.157000,29.000000,17,32,15,2.396266,0,0.000000,0,0.000000,Unstable selection,24.150000,31,29.800000,29
KNN,fs1,fs1,AC,KNN_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__n_neighbors"": 7, ""classifier__p"": 1, ""classifier__weights"": ""uniform""}",group,5,1,5,0.588091,0.169093,,,0.817121,0.822051,0.825595,0.822051,0.818445,0.811723,0.714556,0.709472,0.407262,0.942752,0.937063,257,,,,,,,,,,,,0,0.866667,0.801740,0.908699,0.801740,0.840002,0.864455,0.765744,0.762056,2.659378,0.885223,0.887174,75,,0.198260,0.230354,,,,0.230354,,,True,False,True,False,False,Overfitting with high CV instability,27.000000,18.500000,22.000000,18.000000,18.500000,24.200000,30,8.000000,12.000000,11.000000,9.800000,8,18.000000,22.000000,18.500000,19.600000,20,,-0.251911,0.251911,True,False,,30,30,0.198529,0.858475,8,20,22.333333,28,24.900000,29,22.800000,30,29.000000,29.000000,28.000000,30.000000,2.000000,1.000000,0,0.000000,Weight-sensitive,29.531000,29.000000,25,34,9,2.172040,0,0.000000,0,0.000000,Unstable selection,23.850000,29,29.900000,30
