simulation,cv_r2_weight,cv_sd_weight,train_cv_gap_weight
130,0.528456,0.455432,0.016112
131,0.609487,0.024769,0.365744
132,0.675889,0.002828,0.321283
133,0.634793,0.052669,0.312538
134,0.511959,0.429346,0.058695
135,0.699284,0.135964,0.164752
136,0.712045,0.022815,0.265140
137,0.642178,0.267368,0.090454
138,0.537450,0.097893,0.364656
139,0.769036,0.022938,0.208026
140,0.668068,0.045484,0.286449
141,0.509095,0.120986,0.369919
142,0.588477,0.169503,0.242020
143,0.638812,0.020978,0.340210
144,0.508769,0.156980,0.334251
145,0.511798,0.269045,0.219156
146,0.756368,0.116603,0.127029
147,0.621679,0.186807,0.191515
148,0.709861,0.031165,0.258974
149,0.518339,0.152815,0.328846
150,0.620957,0.160520,0.218524
151,0.530098,0.266713,0.203190
152,0.641778,0.012329,0.345893
153,0.704294,0.221594,0.074112
154,0.567150,0.065888,0.366962
155,0.608898,0.375010,0.016092
156,0.504951,0.254151,0.240898
157,0.732698,0.191625,0.075677
158,0.739673,0.182695,0.077632
159,0.735386,0.168703,0.095911
160,0.553523,0.260000,0.186477
161,0.763432,0.074741,0.161828
162,0.552314,0.355197,0.092489
163,0.627691,0.299224,0.073085
164,0.599328,0.272279,0.128393
165,0.500427,0.021659,0.477914
166,0.531534,0.245495,0.222971
167,0.657907,0.223258,0.118835
168,0.651185,0.258291,0.090524
169,0.621467,0.347118,0.031414
170,0.682416,0.029486,0.288098
171,0.532528,0.149223,0.318249
172,0.668372,0.147326,0.184302
173,0.782703,0.191815,0.025482
174,0.600259,0.294352,0.105389
175,0.530174,0.242828,0.226998
176,0.515807,0.078069,0.406124
177,0.501612,0.249370,0.249019
178,0.574056,0.217089,0.208855
179,0.551354,0.448289,0.000357
180,0.538191,0.257592,0.204217
181,0.513514,0.456565,0.029921
182,0.503375,0.015508,0.481117
183,0.526251,0.298134,0.175615
184,0.710145,0.035582,0.254273
185,0.622856,0.170866,0.206277
186,0.702938,0.236488,0.060574
187,0.573189,0.089162,0.337650
188,0.541018,0.364221,0.094762
189,0.519268,0.371065,0.109667
190,0.664339,0.041383,0.294278
191,0.521645,0.144617,0.333738
192,0.747436,0.002047,0.250517
193,0.514678,0.052528,0.432794
194,0.537124,0.043741,0.419136
195,0.565323,0.175526,0.259151
196,0.619814,0.092114,0.288073
197,0.739034,0.062711,0.198254
198,0.647881,0.113862,0.238257
199,0.645723,0.173539,0.180738
200,0.730090,0.204507,0.065403
201,0.551306,0.352796,0.095899
202,0.509538,0.213512,0.276949
203,0.511932,0.292766,0.195302
204,0.561030,0.220566,0.218404
205,0.794850,0.120580,0.084570
206,0.767414,0.205579,0.027008
207,0.509462,0.489901,0.000637
208,0.681122,0.313066,0.005812
209,0.596991,0.295663,0.107345
210,0.569787,0.296589,0.133625
211,0.720451,0.227140,0.052409
212,0.702074,0.104236,0.193690
213,0.546776,0.270548,0.182676
214,0.523017,0.403441,0.073541
215,0.637925,0.128702,0.233373
216,0.515281,0.213183,0.271537
217,0.621204,0.023432,0.355364
218,0.679642,0.199118,0.121240
219,0.642000,0.051450,0.306550
220,0.718320,0.054738,0.226942
221,0.770740,0.152945,0.076315
222,0.539996,0.323133,0.136872
223,0.605327,0.209661,0.185013
224,0.723040,0.080332,0.196628
225,0.520405,0.264646,0.214949
226,0.705212,0.209460,0.085328
227,0.537542,0.042127,0.420331
228,0.682959,0.165001,0.152040
229,0.520938,0.171309,0.307753
230,0.517699,0.201595,0.280706
231,0.623015,0.325040,0.051945
232,0.634158,0.075517,0.290325
233,0.558032,0.039854,0.402114
234,0.704664,0.215467,0.079869
235,0.522325,0.354080,0.123595
236,0.694763,0.071758,0.233479
237,0.638934,0.327493,0.033573
238,0.643128,0.306511,0.050362
239,0.797472,0.119469,0.083059
240,0.599601,0.351912,0.048487
241,0.533706,0.266537,0.199757
242,0.555826,0.032652,0.411522
243,0.687910,0.147773,0.164317
244,0.565643,0.301789,0.132568
245,0.779608,0.211186,0.009206
246,0.758318,0.012665,0.229017
247,0.750599,0.201613,0.047788
248,0.658222,0.336708,0.005069
249,0.537966,0.305424,0.156610
250,0.556494,0.429665,0.013841
251,0.652961,0.218885,0.128153
252,0.567070,0.080452,0.352478
253,0.695592,0.268268,0.036139
254,0.799115,0.086098,0.114787
255,0.731501,0.040954,0.227545
256,0.601159,0.334075,0.064766
257,0.602167,0.374518,0.023316
258,0.660203,0.086177,0.253620
259,0.571353,0.167816,0.260831
260,0.596940,0.040038,0.363022
261,0.517367,0.135019,0.347614
262,0.616667,0.214387,0.168946
263,0.635839,0.355883,0.008279
264,0.703794,0.249740,0.046467
265,0.655932,0.295009,0.049059
266,0.681028,0.174253,0.144719
267,0.701767,0.175840,0.122393
268,0.549623,0.079573,0.370805
269,0.754442,0.084647,0.160911
270,0.524925,0.037084,0.437991
271,0.642503,0.260051,0.097446
272,0.763007,0.070496,0.166497
273,0.581780,0.381670,0.036549
274,0.565509,0.429128,0.005363
275,0.687543,0.288546,0.023910
276,0.799754,0.133144,0.067101
277,0.636432,0.346667,0.016901
278,0.616139,0.283570,0.100291
279,0.545009,0.426192,0.028799
280,0.505458,0.012082,0.482460
281,0.718352,0.050516,0.231132
282,0.523533,0.437295,0.039172
283,0.556877,0.421215,0.021908
284,0.566871,0.259309,0.173820
285,0.541302,0.158429,0.300269
286,0.594826,0.221120,0.184054
287,0.503031,0.276262,0.220707
288,0.539632,0.038905,0.421463
289,0.677513,0.259052,0.063435
290,0.575737,0.002418,0.421845
291,0.722079,0.053003,0.224919
292,0.535328,0.065712,0.398960
293,0.566745,0.403296,0.029959
294,0.625207,0.154230,0.220563
295,0.513495,0.102794,0.383712
296,0.759156,0.229862,0.010982
297,0.509413,0.137611,0.352976
298,0.773502,0.038922,0.187576
299,0.599641,0.046255,0.354104
300,0.556066,0.364767,0.079166
301,0.500711,0.150614,0.348675
302,0.551684,0.094269,0.354047
303,0.530087,0.092805,0.377108
304,0.637285,0.280928,0.081786
305,0.510423,0.135140,0.354437
306,0.787794,0.174061,0.038145
307,0.621100,0.359078,0.019822
308,0.668142,0.077366,0.254491
309,0.548083,0.292754,0.159163
310,0.760042,0.158373,0.081586
311,0.631562,0.348089,0.020349
312,0.629834,0.179754,0.190412
313,0.733232,0.111103,0.155665
314,0.698844,0.161141,0.140014
315,0.569540,0.129659,0.300801
316,0.654214,0.267368,0.078417
317,0.684074,0.049963,0.265963
318,0.711360,0.183540,0.105100
319,0.597956,0.270153,0.131891
320,0.527285,0.223193,0.249521
321,0.739000,0.121098,0.139902
322,0.711235,0.012704,0.276060
323,0.732070,0.154829,0.113100
324,0.736865,0.109820,0.153315
325,0.764904,0.221698,0.013398
326,0.508279,0.035175,0.456546
327,0.632737,0.143748,0.223515
328,0.602727,0.255244,0.142029
329,0.510939,0.065977,0.423085
330,0.625167,0.259141,0.115692
331,0.582518,0.286745,0.130737
332,0.652104,0.113768,0.234127
333,0.512897,0.430168,0.056935
334,0.555446,0.440326,0.004228
335,0.695843,0.178019,0.126138
336,0.623725,0.136789,0.239486
337,0.739200,0.078194,0.182606
338,0.534960,0.153949,0.311091
339,0.696924,0.262793,0.040282
340,0.517598,0.002682,0.479719
341,0.584913,0.340116,0.074971
342,0.791303,0.034996,0.173701
343,0.557241,0.004345,0.438413
344,0.786832,0.056637,0.156531
345,0.583799,0.100603,0.315597
346,0.500959,0.365535,0.133506
347,0.611426,0.123980,0.264594
348,0.567772,0.340020,0.092208
349,0.751436,0.095183,0.153381
350,0.509008,0.375883,0.115108
351,0.586912,0.401870,0.011218
352,0.633228,0.273215,0.093557
353,0.520415,0.210868,0.268716
354,0.646115,0.027384,0.326501
355,0.652733,0.153644,0.193623
356,0.724740,0.138762,0.136498
357,0.573293,0.190648,0.236058
358,0.567095,0.133392,0.299513
359,0.562017,0.189102,0.248881
360,0.657995,0.221001,0.121004
361,0.517322,0.178085,0.304593
362,0.510859,0.293433,0.195708
363,0.541640,0.456967,0.001394
364,0.682415,0.187746,0.129838
365,0.736438,0.159624,0.103938
366,0.646099,0.016618,0.337283
367,0.760049,0.131369,0.108581
368,0.650326,0.156137,0.193537
369,0.770843,0.163913,0.065244
370,0.528669,0.385288,0.086043
371,0.624319,0.050685,0.324996
372,0.588363,0.124356,0.287281
373,0.612694,0.144644,0.242662
374,0.510656,0.004596,0.484749
375,0.501567,0.042820,0.455612
376,0.603197,0.186690,0.210112
377,0.575979,0.004197,0.419824
378,0.645960,0.238365,0.115675
379,0.664385,0.032305,0.303310
380,0.516450,0.467705,0.015845
381,0.629035,0.127300,0.243664
382,0.568439,0.201621,0.229940
383,0.565925,0.136839,0.297236
384,0.728670,0.219549,0.051781
385,0.628644,0.147103,0.224253
386,0.564681,0.034849,0.400470
387,0.731802,0.145116,0.123082
388,0.506088,0.269068,0.224844
389,0.670427,0.313652,0.015921
390,0.516087,0.038172,0.445741
391,0.587490,0.222699,0.189811
392,0.532735,0.295587,0.171678
393,0.723576,0.233996,0.042428
394,0.523142,0.462071,0.014787
395,0.535407,0.433825,0.030768
396,0.595787,0.308229,0.095984
397,0.534523,0.360069,0.105408
398,0.631188,0.254179,0.114633
399,0.527373,0.104366,0.368261
400,0.637617,0.194218,0.168165
401,0.765539,0.052156,0.182306
402,0.652577,0.223099,0.124324
403,0.714036,0.056921,0.229043
404,0.585613,0.091290,0.323098
405,0.562831,0.175675,0.261494
406,0.555102,0.119032,0.325866
407,0.631617,0.310718,0.057666
408,0.744189,0.220450,0.035361
409,0.603017,0.212100,0.184882
410,0.748941,0.167327,0.083732
411,0.668315,0.175529,0.156156
412,0.786426,0.185919,0.027655
413,0.655618,0.017479,0.326903
414,0.512485,0.360142,0.127373
415,0.601041,0.089432,0.309527
416,0.558657,0.106775,0.334568
417,0.711091,0.137515,0.151395
418,0.663368,0.115580,0.221052
419,0.701913,0.045980,0.252107
420,0.719880,0.180820,0.099300
421,0.712860,0.180929,0.106211
422,0.518014,0.073688,0.408298
423,0.611000,0.063110,0.325890
424,0.679398,0.245415,0.075187
425,0.546710,0.094221,0.359069
426,0.623593,0.319157,0.057250
427,0.518198,0.174692,0.307110
428,0.590747,0.294153,0.115100
429,0.665049,0.317580,0.017370
430,0.571982,0.415725,0.012293
431,0.628007,0.018963,0.353030
432,0.625792,0.028065,0.346142
433,0.588051,0.380768,0.031182
434,0.611558,0.121606,0.266836
435,0.555440,0.387088,0.057472
436,0.723128,0.274660,0.002212
437,0.515777,0.439140,0.045083
438,0.573257,0.101341,0.325403
439,0.761125,0.232082,0.006793
440,0.627988,0.315437,0.056576
441,0.555127,0.240072,0.204801
442,0.602308,0.153990,0.243701
443,0.659681,0.099450,0.240869
444,0.508429,0.355994,0.135578
445,0.675964,0.277027,0.047009
446,0.732363,0.232812,0.034825
447,0.544214,0.374882,0.080904
448,0.679791,0.297289,0.022921
449,0.660671,0.297394,0.041934
450,0.629785,0.020343,0.349871
451,0.524293,0.214018,0.261689
452,0.527835,0.457605,0.014560
453,0.756859,0.150099,0.093042
454,0.646530,0.297006,0.056464
455,0.593588,0.023215,0.383196
456,0.738336,0.117844,0.143820
457,0.744268,0.123043,0.132689
458,0.592883,0.035179,0.371938
459,0.690993,0.065363,0.243645
460,0.533027,0.299899,0.167074
461,0.609852,0.217888,0.172260
462,0.783979,0.069284,0.146736
463,0.759173,0.047705,0.193122
464,0.564805,0.236181,0.199014
465,0.706538,0.264417,0.029045
466,0.549824,0.059041,0.391136
467,0.500720,0.368528,0.130752
468,0.689189,0.309561,0.001250
469,0.786165,0.085613,0.128222
470,0.770807,0.228675,0.000518
471,0.636364,0.078127,0.285509
472,0.580995,0.212668,0.206337
473,0.515746,0.081017,0.403237
474,0.781006,0.125994,0.092999
475,0.704935,0.266640,0.028424
476,0.705623,0.140514,0.153863
477,0.590591,0.198052,0.211357
478,0.725871,0.208072,0.066057
479,0.628226,0.195428,0.176346
480,0.562331,0.342670,0.094999
481,0.572480,0.200333,0.227188
482,0.576115,0.298861,0.125025
483,0.509909,0.122735,0.367356
484,0.535731,0.257476,0.206793
485,0.712514,0.053334,0.234152
486,0.635910,0.153494,0.210596
487,0.611752,0.025664,0.362585
488,0.609922,0.195350,0.194728
489,0.540440,0.094136,0.365425
490,0.561974,0.017726,0.420300
491,0.754685,0.223643,0.021673
492,0.641540,0.261413,0.097047
493,0.637763,0.311668,0.050569
494,0.711883,0.187898,0.100218
495,0.618728,0.312536,0.068736
496,0.625495,0.017026,0.357479
497,0.658775,0.215980,0.125244
498,0.514748,0.014209,0.471043
499,0.643202,0.044569,0.312229
500,0.586242,0.367751,0.046007
501,0.681416,0.180982,0.137602
502,0.505309,0.227554,0.267137
503,0.531342,0.413758,0.054900
504,0.549217,0.260656,0.190127
505,0.581466,0.040253,0.378281
506,0.524055,0.320610,0.155336
507,0.556897,0.348730,0.094374
508,0.612287,0.349302,0.038411
509,0.500504,0.478022,0.021474
510,0.675680,0.023202,0.301118
511,0.576431,0.092017,0.331552
512,0.717712,0.071657,0.210631
513,0.692940,0.019919,0.287141
514,0.699880,0.156274,0.143846
515,0.717121,0.111321,0.171558
516,0.524995,0.012255,0.462750
517,0.659634,0.025441,0.314925
518,0.508303,0.468413,0.023284
519,0.579434,0.102334,0.318232
520,0.551417,0.051132,0.397450
521,0.578121,0.172190,0.249689
522,0.684196,0.278419,0.037385
523,0.541231,0.108417,0.350352
524,0.578511,0.263595,0.157894
525,0.582653,0.246749,0.170598
526,0.591340,0.099913,0.308747
527,0.601679,0.171385,0.226936
528,0.785330,0.161443,0.053227
529,0.753811,0.002001,0.244189
530,0.525564,0.315316,0.159120
531,0.530446,0.308775,0.160779
532,0.520155,0.202008,0.277837
533,0.502697,0.247594,0.249708
534,0.626328,0.014101,0.359571
535,0.721119,0.255308,0.023573
536,0.628760,0.255654,0.115586
537,0.640176,0.080081,0.279743
538,0.504685,0.153512,0.341803
539,0.506966,0.200173,0.292861
540,0.500198,0.178625,0.321177
541,0.585090,0.345820,0.069090
542,0.669869,0.241020,0.089111
543,0.613265,0.371525,0.015210
544,0.632037,0.164930,0.203033
545,0.609656,0.073548,0.316797
546,0.527494,0.008561,0.463945
547,0.663855,0.280265,0.055880
548,0.701012,0.195487,0.103501
549,0.693525,0.305578,0.000897
550,0.782359,0.126456,0.091186
551,0.667870,0.062993,0.269137
552,0.753766,0.144564,0.101670
553,0.592340,0.328801,0.078859
554,0.636290,0.080043,0.283668
555,0.612142,0.268171,0.119687
556,0.562306,0.014011,0.423683
557,0.737048,0.260502,0.002450
558,0.790827,0.151931,0.057242
559,0.572308,0.099587,0.328105
560,0.692141,0.193201,0.114657
561,0.524834,0.183159,0.292007
562,0.696372,0.152052,0.151576
563,0.608775,0.099433,0.291792
564,0.579365,0.072453,0.348182
565,0.526794,0.333804,0.139402
566,0.519240,0.197861,0.282899
567,0.588513,0.233221,0.178266
568,0.759787,0.047450,0.192763
569,0.740798,0.061376,0.197826
570,0.516190,0.237886,0.245925
571,0.558692,0.395332,0.045976
572,0.674607,0.058700,0.266693
573,0.502980,0.138560,0.358460
574,0.598800,0.036902,0.364298
575,0.570220,0.043927,0.385853
576,0.620939,0.306233,0.072828
577,0.565236,0.426491,0.008273
578,0.774524,0.081631,0.143844
579,0.789637,0.204137,0.006226
580,0.793938,0.088729,0.117333
581,0.602179,0.392066,0.005755
582,0.584168,0.144071,0.271761
583,0.581990,0.083714,0.334295
584,0.726946,0.240698,0.032356
585,0.605431,0.357398,0.037171
586,0.646177,0.041518,0.312305
587,0.750618,0.166967,0.082415
588,0.635878,0.232234,0.131888
589,0.691505,0.032348,0.276146
590,0.634592,0.238340,0.127069
591,0.547070,0.082475,0.370455
592,0.543075,0.145189,0.311735
593,0.574493,0.114501,0.311005
594,0.707305,0.125283,0.167412
595,0.789576,0.047918,0.162507
596,0.649202,0.283304,0.067494
597,0.792151,0.004597,0.203252
598,0.570688,0.391568,0.037744
599,0.506459,0.472414,0.021127
600,0.647776,0.085133,0.267091
601,0.644686,0.300086,0.055228
602,0.715749,0.146654,0.137597
603,0.524574,0.121675,0.353751
604,0.635910,0.326282,0.037808
605,0.621773,0.248990,0.129237
606,0.573514,0.421223,0.005263
607,0.717076,0.170020,0.112903
608,0.673559,0.317843,0.008598
609,0.664361,0.283700,0.051938
610,0.791506,0.137340,0.071154
611,0.737353,0.030007,0.232640
612,0.730327,0.022947,0.246725
613,0.548929,0.420106,0.030965
614,0.799090,0.020553,0.180357
615,0.594389,0.359089,0.046522
616,0.595006,0.322184,0.082809
617,0.645034,0.150513,0.204453
618,0.596652,0.280077,0.123272
619,0.527103,0.352455,0.120442
620,0.672399,0.295309,0.032292
621,0.714460,0.105717,0.179823
622,0.788993,0.130170,0.080837
623,0.611789,0.104927,0.283284
624,0.738107,0.027681,0.234212
625,0.747517,0.062071,0.190412
626,0.757405,0.176955,0.065640
627,0.656764,0.210040,0.133196
628,0.518256,0.105321,0.376423
629,0.709491,0.028533,0.261976
630,0.535428,0.365340,0.099232
631,0.719370,0.130387,0.150242
632,0.795628,0.054757,0.149616
633,0.634804,0.139046,0.226150
634,0.556395,0.421569,0.022036
635,0.526958,0.124625,0.348417
636,0.530178,0.150142,0.319680
637,0.534722,0.343803,0.121475
638,0.756761,0.050966,0.192273
639,0.596719,0.180440,0.222841
640,0.799554,0.024306,0.176140
641,0.512309,0.139328,0.348363
642,0.578040,0.214588,0.207372
643,0.700042,0.282459,0.017499
644,0.714264,0.015377,0.270359
645,0.742733,0.223481,0.033786
646,0.546481,0.084859,0.368659
647,0.672348,0.195055,0.132597
648,0.792344,0.044220,0.163436
649,0.557457,0.122054,0.320489
650,0.698002,0.255009,0.046989
651,0.607662,0.032857,0.359481
652,0.544667,0.340028,0.115305
653,0.616953,0.019038,0.364009
654,0.588624,0.198797,0.212579
655,0.586898,0.102786,0.310316
656,0.553720,0.260872,0.185408
657,0.678188,0.321002,0.000811
658,0.696408,0.259370,0.044222
659,0.613008,0.073998,0.312994
660,0.659734,0.331466,0.008800
661,0.575589,0.048556,0.375855
662,0.618924,0.038230,0.342845
663,0.727395,0.163107,0.109499
664,0.524470,0.283727,0.191803
665,0.501668,0.316510,0.181822
666,0.567775,0.383799,0.048426
667,0.792561,0.192206,0.015233
668,0.616236,0.264426,0.119338
669,0.585731,0.082148,0.332121
670,0.654423,0.101971,0.243606
671,0.522194,0.256104,0.221702
672,0.716260,0.103464,0.180276
673,0.687642,0.252036,0.060322
674,0.638155,0.315089,0.046756
675,0.729922,0.125469,0.144609
676,0.535938,0.113343,0.350719
677,0.596627,0.039452,0.363920
678,0.536205,0.040085,0.423711
679,0.621322,0.230561,0.148117
680,0.584273,0.059504,0.356223
681,0.581967,0.263206,0.154827
682,0.533649,0.338481,0.127870
683,0.576154,0.362486,0.061360
684,0.699437,0.208930,0.091632
685,0.512328,0.469361,0.018311
686,0.632152,0.068760,0.299087
687,0.799424,0.003804,0.196773
688,0.606199,0.271568,0.122233
689,0.523809,0.439212,0.036979
690,0.573781,0.289884,0.136336
691,0.662060,0.224435,0.113505
692,0.798071,0.148361,0.053568
693,0.763861,0.111246,0.124892
694,0.570623,0.333494,0.095884
695,0.617988,0.350162,0.031850
696,0.725909,0.023282,0.250809
697,0.549654,0.223369,0.226976
698,0.513252,0.413386,0.073362
699,0.587507,0.161241,0.251252
700,0.543615,0.245013,0.211372
701,0.700987,0.238281,0.060732
702,0.534090,0.003531,0.462379
703,0.652690,0.203102,0.144209
704,0.536350,0.311631,0.152020
705,0.608782,0.187260,0.203958
706,0.566622,0.133277,0.300102
707,0.659967,0.021318,0.318715
708,0.624586,0.133218,0.242196
709,0.625614,0.013077,0.361309
710,0.737255,0.150587,0.112158
711,0.791533,0.183719,0.024748
712,0.527263,0.007525,0.465213
713,0.717006,0.165168,0.117826
714,0.778407,0.186578,0.035014
715,0.640902,0.257826,0.101272
716,0.577837,0.379584,0.042579
717,0.626071,0.092472,0.281457
718,0.767597,0.188711,0.043691
719,0.512416,0.236884,0.250700
720,0.685923,0.292435,0.021643
721,0.704543,0.250247,0.045210
722,0.519752,0.247936,0.232312
723,0.691810,0.133424,0.174766
724,0.500909,0.317047,0.182045
725,0.656675,0.297027,0.046299
726,0.594175,0.225223,0.180602
727,0.658618,0.109514,0.231868
728,0.672624,0.278325,0.049052
729,0.707794,0.033759,0.258447
730,0.578415,0.189029,0.232557
731,0.626987,0.267607,0.105406
732,0.635634,0.223149,0.141217
733,0.524164,0.058749,0.417088
734,0.709467,0.195195,0.095338
735,0.660355,0.041800,0.297846
736,0.785156,0.189239,0.025605
737,0.651017,0.183149,0.165834
738,0.691298,0.240797,0.067905
739,0.666503,0.112981,0.220515
740,0.625387,0.149285,0.225328
741,0.558838,0.345374,0.095787
742,0.699113,0.274256,0.026631
743,0.645016,0.219881,0.135104
744,0.746130,0.233785,0.020085
745,0.567241,0.090728,0.342030
746,0.535792,0.342846,0.121362
747,0.607894,0.203080,0.189027
748,0.607709,0.127198,0.265093
749,0.605560,0.229904,0.164536
750,0.570020,0.000404,0.429576
751,0.619102,0.247827,0.133072
752,0.598245,0.226460,0.175295
753,0.576206,0.098323,0.325471
754,0.610134,0.183193,0.206673
755,0.706250,0.249697,0.044053
756,0.509696,0.172907,0.317397
757,0.722415,0.078400,0.199185
758,0.522377,0.131336,0.346288
759,0.740786,0.134458,0.124756
760,0.606172,0.334899,0.058929
761,0.579629,0.034101,0.386271
762,0.532059,0.176261,0.291680
763,0.584429,0.196121,0.219450
764,0.619576,0.341201,0.039224
765,0.560445,0.212878,0.226678
766,0.631175,0.209611,0.159215
767,0.664997,0.002797,0.332206
768,0.516023,0.166831,0.317146
769,0.641799,0.210573,0.147627
770,0.631251,0.191654,0.177095
771,0.750140,0.123459,0.126401
772,0.614299,0.312580,0.073120
773,0.677849,0.195879,0.126273
774,0.742184,0.050643,0.207173
775,0.564201,0.211520,0.224279
776,0.663454,0.224754,0.111792
777,0.522808,0.142727,0.334465
778,0.759654,0.071775,0.168571
779,0.718416,0.182062,0.099522
780,0.761745,0.059344,0.178911
781,0.528734,0.378508,0.092758
782,0.502211,0.452442,0.045347
783,0.689443,0.200176,0.110381
784,0.547846,0.117213,0.334941
785,0.630297,0.233668,0.136034
786,0.666123,0.158897,0.174980
787,0.543888,0.351441,0.104672
788,0.571538,0.006508,0.421954
789,0.763880,0.214674,0.021447
790,0.682292,0.087732,0.229976
791,0.635962,0.146018,0.218020
792,0.506100,0.139444,0.354456
793,0.662875,0.284288,0.052838
794,0.567018,0.358382,0.074599
795,0.654421,0.170882,0.174697
796,0.523829,0.221133,0.255038
797,0.595360,0.355285,0.049355
798,0.501549,0.149504,0.348948
799,0.605156,0.037560,0.357284
800,0.698010,0.052163,0.249827
801,0.661355,0.156116,0.182529
802,0.697110,0.073124,0.229766
803,0.503450,0.163790,0.332761
804,0.538331,0.359146,0.102523
805,0.606331,0.212216,0.181453
806,0.629033,0.298335,0.072632
807,0.624300,0.292557,0.083143
808,0.629469,0.321502,0.049029
809,0.580047,0.246162,0.173792
810,0.646798,0.040563,0.312638
811,0.579679,0.131640,0.288681
812,0.608416,0.386453,0.005131
813,0.527125,0.035734,0.437141
814,0.789146,0.052697,0.158158
815,0.718589,0.226987,0.054424
816,0.598405,0.187290,0.214305
817,0.631284,0.180875,0.187842
818,0.682464,0.297794,0.019742
819,0.500868,0.366826,0.132306
